日期,身份別,期貨多方交易口數,選擇權多方交易口數,期貨多方交易契約金額(千元),選擇權多方交易契約金額(千元),期貨空方交易口數,選擇權空方交易口數,期貨空方交易契約金額(千元),選擇權空方交易契約金額(千元),期貨多空交易口數淨額,選擇權多空交易口數淨額,期貨多空交易契約金額淨額(千元),選擇權多空交易契約金額淨額(千元),期貨多方未平倉口數,選擇權多方未平倉口數,期貨多方未平倉契約金額(千元),選擇權多方未平倉契約金額(千元),期貨空方未平倉口數,選擇權空方未平倉口數,期貨空方未平倉契約金額(千元),選擇權空方未平倉契約金額(千元),期貨多空未平倉口數淨額,選擇權多空未平倉口數淨額,期貨多空未平倉契約金額淨額(千元),選擇權多空未平倉契約金額淨額(千元)
2018/09/21,自營商,49360,293182,53117301,558750,44643,269756,47735806,452581,4717,23426,5381495,106169.0,54019,139865,28312738,331882,89449,156524,36838207,328050,-35430,-16659,-8525469,3832
2018/09/21,投信,513,0,1124905,0,193,1120,152227,4277,320,-1120,972678,-4277.0,5569,289,7256399,165,30831,2581,60116195,9495,-25262,-2292,-52859796,-9330
2018/09/21,外資及陸資,149835,77257,178491446,238826,137850,71641,161885584,224586,11985,5616,16605862,14240.0,83480,79299,128616344,196093,48833,73010,59809329,230698,34647,6289,68807015,-34605
2018/09/25,自營商,36967,264495,36795119,379165,37434,264874,36259070,367360,-467,-379,536049,11805.0,56252,160627,30442207,335130,92164,177640,38422424,328975,-35912,-17013,-7980217,6155
2018/09/25,投信,36,1000,79056,123,12,1100,26331,3384,24,-100,52725,-3261.0,5584,289,7287748,130,30822,2681,60131646,12048,-25238,-2392,-52843898,-11918
2018/09/25,外資及陸資,105023,67446,113155333,186901,100235,60003,106066528,158877,4788,7443,7088805,28024.0,87063,90237,133740509,203615,49815,76505,57787561,210573,37248,13732,75952948,-6958
2018/09/26,自營商,39162,310305,38796408,419006,38195,329647,38088373,437716,967,-19342,708035,-18710.0,57451,103599,29211885,299546,92715,139726,36491782,288167,-35264,-36127,-7279897,11379
2018/09/26,投信,18,196,39496,59,22,217,46198,5,-4,-21,-6702,54.0,5582,292,7284274,186,30824,2685,60103511,11672,-25242,-2393,-52819237,-11486
2018/09/26,外資及陸資,100574,94887,110493725,214940,102464,90636,113271378,218916,-1890,4251,-2777653,-3976.0,87024,88667,131297355,190768,51586,69105,58151062,209056,35438,19562,73146293,-18288
2018/09/27,自營商,41965,275433,42874797,445857,41689,263418,42118657,429508,276,12015,756140,16349.0,61099,147641,32699194,360025,96096,171682,39238006,329204,-34997,-24041,-6538812,30821
2018/09/27,投信,16,0,34713,0,75,0,164698,0,-59,0,-129985,0.0,5511,292,7132715,151,30812,2685,60131581,11137,-25301,-2393,-52998866,-10986
2018/09/27,外資及陸資,126087,55906,151526831,179699,118133,52608,137089816,155345,7954,3298,14437015,24354.0,91907,102559,141500943,214780,48542,79699,53814300,209313,43365,22860,87686643,5467
2018/09/28,自營商,52315,291937,55086948,547313,50662,318062,54640331,573256,1653,-26125,446617,-25943.0,63162,161959,33838248,400978,96602,212108,39946041,373411,-33440,-50149,-6107793,27567
2018/09/28,投信,8,0,17563,0,367,0,801715,0,-359,0,-784152,0.0,5417,292,6912561,140,31077,2685,60569005,10609,-25660,-2393,-53656444,-10469
2018/09/28,外資及陸資,139977,67803,167221334,221768,149820,73227,181272524,227862,-9843,-5424,-14051190,-6094.0,87375,106371,135038241,214042,53871,88935,61586151,206860,33504,17436,73452090,7182
2018/10/01,自營商,35194,219683,35938807,371521,35686,205159,33569990,331106,-492,14524,2368817,40415.0,65694,191556,38809426,449006,99620,227147,42598283,395043,-33926,-35591,-3788857,53963
2018/10/01,投信,44,0,96822,0,0,4,0,0,44,-4,96822,0.0,5445,292,7004150,89,31061,2689,60812437,9721,-25616,-2397,-53808287,-9632
2018/10/01,外資及陸資,90185,33879,101069751,103203,82885,35804,89928502,105439,7300,-1925,11141249,-2236.0,91768,110859,141158390,220945,50964,95348,56205816,225204,40804,15511,84952574,-4259
2018/10/02,自營商,51005,341616,55288306,518678,58048,385711,59548042,598960,-7043,-44095,-4259736,-80282.0,62444,177867,36990388,441713,102549,257512,44941819,425000,-40105,-79645,-7951431,16713
2018/10/02,投信,13,0,28354,0,491,0,1068455,0,-478,0,-1040101,0.0,5406,292,6832859,149,31500,2689,61051518,11943,-26094,-2397,-54218659,-11794
2018/10/02,外資及陸資,116575,89861,136930049,255646,136512,96315,171104611,279414,-19937,-6454,-34174562,-23768.0,84337,113219,124499578,228547,60212,104162,74534530,240483,24125,9057,49965048,-11936
2018/10/03,自營商,49054,460118,50476491,748115,52537,451597,57151167,700956,-3483,8521,-6674676,47159.0,60434,140863,30263021,384172,104151,171202,44881890,315750,-43717,-30339,-14618869,68422
2018/10/03,投信,128,2394,123968,6847,241,2124,523317,10918,-113,270,-399349,-4071.0,5493,276,6857653,248,31700,2375,61359008,14878,-26207,-2099,-54501355,-14630
2018/10/03,外資及陸資,133942,127169,162068775,392766,126360,125493,149692453,389557,7582,1676,12376322,3209.0,86968,115149,128879492,331461,55245,98275,66649828,320789,31723,16874,62229664,10672
2018/10/04,自營商,52966,338066,61228646,626142,56625,379918,57188173,804345,-3659,-41852,4040473,-178203.0,67243,163386,41586423,450936,114172,235594,51923815,540323,-46929,-72208,-10337392,-89387
2018/10/04,投信,6,0,10824,0,392,0,839708,0,-386,0,-828884,0.0,5414,276,6590248,737,32007,2375,61130847,24430,-26593,-2099,-54540599,-23693
2018/10/04,外資及陸資,130492,81394,155932967,302342,154339,95333,195588412,344227,-23847,-13939,-39655445,-41885.0,80570,117264,112794117,439916,69682,114329,90903624,483402,10888,2935,21890493,-43486
2018/10/05,自營商,104661,597496,113641032,1450682,105770,628779,112939442,1623646,-1109,-31283,701590,-172964.0,72295,193426,47701493,726206,120420,296820,57016130,947571,-48125,-103394,-9314637,-221365
2018/10/05,投信,22,278,46280,60,588,1,1242853,12,-566,277,-1196573,48.0,5404,288,6451636,2134,32563,2110,61236873,39680,-27159,-1822,-54785237,-37546
2018/10/05,外資及陸資,256445,214917,299309215,779995,259115,228825,303519494,773885,-2670,-13908,-4210279,6110.0,82841,131399,114579027,738858,74593,142372,97314553,835893,8248,-10973,17264474,-97035
2018/10/08,自營商,72713,398361,72990452,911722,72595,414720,72997072,939300,118,-16359,-6620,-27578.0,73625,218429,49005045,831747,121560,338293,58270908,1086037,-47935,-119864,-9265863,-254290
2018/10/08,投信,2080,60,3292608,738,188,218,392862,677,1892,-158,2899746,61.0,6346,269,8125836,2221,31613,2249,59773504,42958,-25267,-1980,-51647668,-40737
2018/10/08,外資及陸資,193506,168332,220221239,557494,196706,176413,223986473,576229,-3200,-8081,-3765234,-18735.0,82686,139808,114594733,837677,77638,158862,101206315,960009,5048,-19054,13388418,-122332
2018/10/09,自營商,62970,351442,61065688,673458,62407,352020,60602312,685806,563,-578,463376,-12348.0,75959,233877,50470056,798347,123406,354365,59280574,1062988,-47447,-120488,-8810518,-264641
2018/10/09,投信,845,19,1723995,25,16,115,28013,273,829,-96,1695982,-248.0,6607,264,8634789,1940,31045,2340,58576591,42624,-24438,-2076,-49941802,-40684
2018/10/09,外資及陸資,177815,118239,199862461,377353,178439,119042,200892717,370704,-624,-803,-1030256,6649.0,82472,148330,115985843,841091,78051,168187,103627910,941761,4421,-19857,12357933,-100670
2018/10/11,自營商,147786,662443,169807924,3636029,142043,790558,158512999,3578401,5743,-128115,11294925,57628.0,81954,182553,54101257,2708189,122529,297819,50657811,3033707,-40575,-115266,3443446,-325518
2018/10/11,投信,2536,625,4938593,8365,6564,228,12422141,8378,-4028,397,-7483548,-13.0,6273,286,7662816,3845,34739,1965,61201064,111590,-28466,-1679,-53538248,-107745
2018/10/11,外資及陸資,359026,281560,417582700,1955056,335853,292066,391863931,1767277,23173,-10506,25718769,187779.0,93101,168844,121072720,3175577,66697,197325,84933316,3402352,26404,-28481,36139404,-226775
2018/10/12,自營商,109411,405767,103855032,1228715,105419,414748,103614771,1315131,3992,-8981,240261,-86416.0,81626,216528,51927935,1816540,118026,340759,48095319,2206375,-36400,-124231,3832616,-389835
2018/10/12,投信,7128,785,13671782,39985,4469,368,8234989,3938,2659,417,5436793,36047.0,6066,268,7594521,1243,31873,1530,57415310,49133,-25807,-1262,-49820789,-47890
2018/10/12,外資及陸資,341053,169149,408805676,695401,329598,159750,389732289,669388,11455,9399,19073387,26013.0,99678,194942,142449478,2146117,65422,214024,85595985,2316345,34256,-19082,56853493,-170228
2018/10/15,自營商,71343,267528,64064320,648080,71165,273440,66404007,651568,178,-5912,-2339687,-3488.0,80998,238030,50015920,2068923,116932,368229,48527931,2444486,-35934,-130199,1487989,-375563
2018/10/15,投信,16375,180,28888431,8,16534,189,29154827,4080,-159,-9,-266396,-4072.0,6011,259,7410211,1283,31977,1530,57010794,58730,-25966,-1271,-49600583,-57447
